"host_id","host_is_superhost","host_identity_verified","host_has_profile_pic","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_listings_count","review_scores_communication","price"
306739,"f","t","t","2010-12-01","within a day","83%","50%",2,4.91,285
99672488,"f","t","t","2016-10-14","a few days or more","0%","100%",1,NA,229
39448176,"f","t","t","2015-07-24","within a few hours","100%","17%",3,NA,220
6501582,"f","t","t","2013-05-21","N/A","N/A","N/A",1,4.89,NA
96598,"f","t","t","2010-03-20","N/A","N/A","N/A",1,5,NA
5252741,"f","t","t","2013-02-27","N/A","N/A","N/A",1,NA,NA
16617981,"f","t","t","2014-06-10","N/A","N/A","N/A",1,4,NA
19976579,"f","t","t","2014-08-13","N/A","N/A","N/A",1,NA,NA
50939666,"f","t","t","2015-12-09","N/A","N/A","N/A",1,5,NA
7375767,"f","f","t","2013-07-09","N/A","N/A","N/A",1,NA,NA
40995200,"f","t","t","2015-08-09","N/A","N/A","N/A",1,NA,NA
5123299,"f","t","t","2013-02-17","N/A","N/A","N/A",1,5,NA
400013151,"f","t","t","2021-05-04","within an hour","100%","100%",1,NA,136
7952263,"f","t","t","2013-08-05","N/A","N/A","N/A",1,5,NA
38445572,"f","t","t","2015-07-14","N/A","N/A","N/A",1,5,NA
38500630,"f","f","t","2015-07-14","N/A","N/A","N/A",1,5,NA
38702813,"f","f","t","2015-07-16","N/A","N/A","N/A",1,NA,NA
9991314,"f","f","t","2013-11-13","N/A","N/A","N/A",1,NA,NA
7489344,"f","t","t","2013-07-15","N/A","N/A","N/A",1,4.65,NA
34202667,"f","t","t","2015-05-25","N/A","N/A","N/A",1,NA,NA
28269324,"f","t","t","2015-02-24","N/A","N/A","N/A",1,5,NA
39503857,"f","f","t","2015-07-25","N/A","N/A","N/A",1,NA,NA
50448556,"f","t","t","2015-12-03","N/A","N/A","N/A",5,NA,NA
3663218,"f","t","t","2012-09-24","N/A","N/A","N/A",2,5,NA
3223938,"f","t","t","2012-08-11","within an hour","99%","23%",727,NA,40
34010790,"f","t","t","2015-05-22","N/A","N/A","N/A",1,NA,NA
30669247,"f","t","t","2015-04-05","N/A","N/A","N/A",1,5,NA
51434460,"f","t","t","2015-12-15","N/A","N/A","N/A",1,NA,NA
15102423,"f","t","t","2014-05-04","N/A","N/A","N/A",1,NA,NA
41810578,"f","t","t","2015-08-18","N/A","N/A","N/A",1,NA,NA
39765154,"f","t","t","2015-07-27","N/A","N/A","N/A",1,NA,NA
42237225,"f","t","t","2015-08-22","N/A","N/A","N/A",1,4.33,NA
8511553,"f","t","t","2013-08-29","N/A","N/A","N/A",1,5,NA
2455544,"f","t","t","2012-05-24","N/A","N/A","N/A",1,5,NA
2729850,"f","f","t","2012-06-24","N/A","N/A","N/A",1,NA,NA
24018769,"f","f","t","2014-11-21","N/A","N/A","N/A",1,NA,NA
3210447,"f","t","t","2012-08-09","N/A","N/A","N/A",1,5,NA
45016174,"f","f","t","2015-09-24","N/A","N/A","N/A",1,NA,NA
31629890,"f","f","t","2015-04-21","N/A","N/A","N/A",1,NA,NA
32340523,"f","f","t","2015-05-01","N/A","N/A","N/A",1,NA,NA
40237377,"f","t","t","2015-08-01","N/A","N/A","N/A",1,NA,NA
6172959,"f","t","t","2013-05-01","N/A","N/A","N/A",1,NA,NA
51522009,"f","t","t","2015-12-16","N/A","N/A","N/A",1,NA,NA
41464907,"f","t","t","2015-08-14","N/A","N/A","N/A",2,5,NA
582250822,"f","t","f","2024-06-08","N/A","N/A","N/A",1,NA,600
36866768,"f","t","t","2015-06-27","N/A","N/A","N/A",1,NA,NA
21090508,"f","t","t","2014-09-08","N/A","N/A","N/A",2,4.88,NA
52022983,"f","t","t","2015-12-22","N/A","N/A","N/A",1,NA,NA
1340207,"f","t","t","2011-10-26","N/A","N/A","N/A",1,5,NA
7963317,"f","t","t","2013-08-05","N/A","N/A","N/A",1,NA,NA
1603471,"f","t","t","2012-01-13","N/A","N/A","N/A",1,NA,NA
31376201,"f","t","t","2015-04-17","N/A","N/A","N/A",3,NA,NA
5769963,"f","f","t","2013-04-04","N/A","N/A","N/A",1,NA,NA
55062858,"f","f","t","2016-01-17","N/A","N/A","N/A",1,4.72,NA
56536974,"f","t","t","2016-01-28","N/A","N/A","N/A",1,NA,NA
45168846,"f","f","t","2015-09-26","N/A","N/A","N/A",1,NA,NA
13500220,"f","t","t","2014-03-24","N/A","N/A","N/A",1,5,NA
24881130,"f","t","t","2014-12-15","N/A","N/A","N/A",1,NA,NA
564585,"f","t","t","2011-05-07","N/A","N/A","N/A",1,NA,NA
1330961,"f","t","t","2011-10-24","N/A","N/A","N/A",1,NA,NA
14278457,"f","f","t","2014-04-14","N/A","N/A","N/A",1,NA,NA
51652888,"f","f","t","2015-12-18","N/A","N/A","N/A",1,5,NA
42315851,"f","f","t","2015-08-23","N/A","N/A","N/A",1,5,NA
12190846,"f","t","t","2014-02-12","N/A","N/A","N/A",1,NA,NA
12114372,"f","t","t","2014-02-10","N/A","N/A","N/A",1,NA,NA
11658596,"f","f","t","2014-01-26","N/A","N/A","N/A",1,NA,NA
45208389,"f","t","t","2015-09-27","N/A","N/A","N/A",1,NA,NA
22613302,"f","f","t","2014-10-16","N/A","N/A","N/A",1,5,NA
45608786,"f","t","t","2015-10-02","N/A","N/A","N/A",1,4.2,NA
55165952,"f","f","t","2016-01-18","N/A","N/A","N/A",1,NA,NA
47013708,"f","t","t","2015-10-20","N/A","N/A","N/A",1,5,NA
14979188,"f","t","t","2014-05-01","N/A","N/A","N/A",1,5,NA
10025306,"f","t","t","2013-11-15","N/A","N/A","N/A",1,NA,NA
48264527,"f","f","t","2015-11-05","N/A","N/A","N/A",1,5,NA
45589955,"f","t","t","2015-10-02","N/A","N/A","N/A",1,4,NA
35919822,"f","t","t","2015-06-15","N/A","N/A","N/A",1,5,NA
36166165,"f","t","t","2015-06-18","N/A","N/A","N/A",1,5,NA
60502606,"f","f","t","2016-02-26","N/A","N/A","N/A",1,NA,NA
9721574,"f","f","t","2013-10-30","N/A","N/A","N/A",1,NA,NA
49202910,"f","t","t","2015-11-16","N/A","N/A","N/A",1,NA,NA
415502,"f","t","t","2011-02-28","N/A","N/A","N/A",1,5,NA
101695430,"f","t","t","2016-10-29","N/A","N/A","N/A",1,NA,NA
72002747,"f","t","t","2016-05-14","N/A","N/A","N/A",1,4.5,NA
82717014,"f","f","t","2016-07-09","N/A","N/A","N/A",1,5,NA
18671223,"f","t","t","2014-07-22","N/A","N/A","N/A",1,NA,NA
16326744,"f","t","t","2014-06-03","N/A","N/A","N/A",1,NA,NA
33640698,"f","t","t","2015-05-18","N/A","N/A","N/A",1,NA,NA
57055185,"f","t","t","2016-02-01","N/A","N/A","N/A",1,NA,NA
23429756,"f","t","t","2014-11-06","N/A","N/A","N/A",1,NA,NA
163313344,"f","t","t","2017-12-19","N/A","N/A","N/A",1,NA,NA
27962518,"f","t","t","2015-02-18","N/A","N/A","N/A",2,NA,NA
23985505,"f","f","t","2014-11-20","N/A","N/A","N/A",1,NA,NA
3100823,"f","t","t","2015-11-12","N/A","N/A","N/A",1,NA,NA
503555,"f","t","t","2011-04-12","N/A","N/A","N/A",4,5,NA
36441990,"f","t","t","2015-06-22","N/A","N/A","N/A",1,5,NA
36817279,"f","t","t","2015-06-26","N/A","N/A","N/A",1,4.94,NA
27158859,"f","t","t","2015-02-03","N/A","N/A","N/A",1,5,NA
80721470,"f","t","t","2016-06-29","N/A","N/A","N/A",1,5,NA
133736899,"f","t","t","2017-06-06","N/A","N/A","N/A",1,5,NA
17274880,"f","t","t","2014-06-26","N/A","N/A","N/A",1,4.75,NA
12662045,"f","f","t","2014-02-28","N/A","N/A","N/A",1,5,NA
141011662,"f","f","t","2017-07-17","N/A","N/A","N/A",1,NA,NA
6335037,"f","f","t","2013-05-11","N/A","N/A","N/A",1,5,NA
27439632,"f","t","t","2015-02-08","N/A","N/A","N/A",1,NA,NA
48261452,"f","t","t","2015-11-05","within an hour","100%","N/A",2,5,NA
17861935,"f","t","t","2014-07-09","N/A","N/A","N/A",1,NA,NA
4055091,"f","t","t","2012-11-04","N/A","N/A","N/A",1,NA,NA
35539248,"f","f","t","2015-06-11","N/A","N/A","N/A",1,NA,NA
42956813,"f","t","t","2015-08-31","N/A","N/A","N/A",1,5,NA
14035480,"f","t","t","2014-04-08","N/A","N/A","N/A",1,NA,NA
28557516,"f","t","t","2015-03-01","N/A","N/A","N/A",1,NA,NA
54261444,"f","t","t","2016-01-11","N/A","N/A","N/A",1,NA,NA
57517386,"f","t","t","2016-02-05","N/A","N/A","N/A",1,NA,NA
37419591,"f","t","t","2015-07-03","N/A","N/A","N/A",1,5,NA
72539408,"f","t","t","2016-05-17","N/A","N/A","N/A",1,NA,NA
82878914,"f","t","t","2016-07-10","N/A","N/A","N/A",1,NA,NA
143817547,"f","t","f","2017-08-01","N/A","N/A","N/A",1,4,NA
154921518,"f","t","t","2017-10-17","N/A","N/A","N/A",1,NA,444
574255356,"f","t","f","2024-04-25","N/A","N/A","N/A",1,NA,97
86337764,"f","f","t","2016-07-27","N/A","N/A","0%",1,NA,165
339421913,"f","f","t","2020-02-28","N/A","N/A","N/A",1,NA,65
923364,"f","t","t","2011-08-04","N/A","N/A","100%",1,5,160
107578852,"f","t","t","2016-12-17","N/A","N/A","100%",1,4.33,125
582983084,"f","t","t","2024-06-11","within an hour","100%","100%",3,NA,468
13717740,"f","t","t","2014-03-30","within an hour","100%","89%",1,4.58,75
450443676,"f","t","t","2022-03-20","N/A","N/A","50%",10,5,219
349931116,"f","t","t","2020-06-13","N/A","N/A","N/A",2,NA,60
455426196,"t","t","t","2022-04-22","within an hour","100%","92%",4,4.95,59
3792860,"f","t","t","2012-10-07","N/A","N/A","N/A",2,NA,NA
62604251,"f","t","t","2016-03-12","N/A","N/A","N/A",1,NA,NA
21255768,"f","t","t","2014-09-12","N/A","N/A","N/A",1,NA,NA
135940325,"f","f","t","2017-06-19","N/A","N/A","N/A",1,NA,NA
146675319,"f","t","t","2017-08-18","within a few hours","100%","78%",3,NA,200
347884942,"f","f","t","2020-05-28","within a few hours","100%","N/A",1,4.92,80
471345215,"t","t","t","2022-07-24","within an hour","100%","86%",9,NA,43
556730397,"f","t","t","2024-01-15","within an hour","100%","100%",20,NA,250
50997424,"t","t","t","2015-12-10","within a few hours","100%","40%",11,5,245
342336507,"f","t","t","2020-03-23","N/A","N/A","N/A",1,NA,250
172579417,"f","t","t","2018-02-09","N/A","N/A","100%",1,4.6,80
115082911,"f","t","t","2017-02-05","within a few hours","100%","100%",3,NA,66
24802960,"f","f","t","2014-12-13","a few days or more","0%","N/A",1,4.75,75
51426218,"f","t","t","2015-12-15","within an hour","93%","46%",10,NA,35
348961337,"f","t","t","2020-06-06","N/A","N/A","N/A",1,NA,150
348891433,"f","t","t","2020-06-06","within an hour","100%","67%",1,4.94,49
268816419,"f","t","t","2019-06-15","within an hour","100%","92%",3,5,71
291026998,"f","f","t","2019-09-02","N/A","N/A","N/A",4,NA,99
5422083,"f","t","t","2013-03-11","within an hour","100%","N/A",1,5,600
6543650,"f","t","t","2013-05-23","N/A","N/A","N/A",1,NA,105
394289605,"f","t","t","2021-03-26","N/A","N/A","100%",1,1,250
296647504,"f","t","t","2019-09-21","N/A","N/A","N/A",1,NA,529
493024482,"f","t","t","2022-12-27","within a few hours","94%","72%",18,NA,51
535634601,"f","t","f","2023-09-05","N/A","N/A","40%",1,5,80
3250450,"t","f","t","2012-08-13","within a few hours","100%","82%",19,5,43
526803672,"f","t","f","2023-07-19","within an hour","100%","80%",1,4.67,150
24373940,"f","t","t","2014-12-01","N/A","N/A","N/A",1,NA,100
490655909,"f","t","t","2022-12-07","N/A","N/A","N/A",1,NA,120
399986109,"f","t","t","2021-05-04","within an hour","100%","67%",1,5,140
498559328,"f","t","t","2023-01-29","within a day","75%","0%",3,4.93,65
432000371,"f","t","t","2021-11-15","within an hour","100%","94%",4,4,100
66352142,"f","t","t","2016-04-08","N/A","N/A","N/A",2,5,282
391967495,"f","t","t","2021-03-10","within a day","100%","100%",1,NA,224
415840703,"t","t","t","2021-07-29","within a few hours","98%","51%",83,NA,322
399865453,"t","t","t","2021-05-03","within a few hours","100%","66%",34,5,146
482505101,"t","t","t","2022-10-06","within an hour","96%","98%",6,4.8,124
6632440,"f","t","t","2013-05-29","within a day","60%","N/A",2,4.9,65
3876092,"f","t","t","2012-10-15","N/A","N/A","8%",2,5,100
11481,"t","t","t","2009-03-26","within a few hours","75%","50%",6,NA,187
330886039,"f","t","t","2020-01-26","N/A","N/A","N/A",1,NA,60
43203249,"f","f","t","2015-09-02","N/A","N/A","N/A",1,5,75
23861205,"f","t","t","2014-11-17","N/A","N/A","N/A",1,4.83,150
15413905,"f","t","t","2014-05-12","within a few hours","100%","N/A",1,NA,50
572649285,"f","t","t","2024-04-16","within an hour","100%","67%",13,NA,48
372788555,"t","f","t","2020-10-21","within a few hours","100%","50%",1,4.99,329
7344277,"f","t","t","2013-07-08","N/A","N/A","N/A",2,NA,NA
465459400,"f","t","t","2022-06-21","N/A","N/A","N/A",1,5,104
535538968,"f","t","f","2023-09-04","a few days or more","0%","100%",2,NA,52
90153911,"f","t","t","2016-08-16","N/A","N/A","60%",2,4.6,150
235971419,"f","f","f","2019-01-11","a few days or more","20%","31%",1,5,70
579204496,"f","t","t","2024-05-23","within an hour","100%","50%",2,NA,33
216807490,"f","t","t","2018-09-23","within a few hours","100%","30%",1,5,50
206919043,"f","f","t","2018-08-02","N/A","N/A","N/A",1,NA,124
36881439,"f","t","t","2015-06-27","N/A","N/A","N/A",2,NA,95
417861627,"f","t","t","2021-08-10","a few days or more","0%","0%",2,NA,65
38706510,"f","t","t","2015-07-16","a few days or more","0%","0%",2,NA,74
533234561,"f","t","t","2023-08-22","within a few hours","82%","79%",85,NA,142
616825,"t","t","t","2011-05-23","within an hour","100%","99%",3,5,137
71741921,"f","t","t","2016-05-12","N/A","N/A","0%",1,NA,115
521229384,"t","t","t","2023-06-21","within a few hours","96%","68%",10,NA,99
432309846,"f","t","t","2021-11-17","within an hour","100%","54%",6,NA,NA
51536620,"f","t","t","2015-12-16","N/A","N/A","N/A",1,NA,NA
29346825,"f","f","t","2015-03-14","N/A","N/A","N/A",1,NA,NA
465579714,"f","t","t","2022-06-22","within a few hours","100%","0%",11,NA,NA
52593822,"f","t","t","2015-12-28","N/A","N/A","N/A",1,NA,NA
99270668,"f","f","t","2016-10-11","N/A","N/A","N/A",1,NA,NA
171629811,"f","t","t","2018-02-04","N/A","N/A","N/A",1,5,NA
22507599,"f","f","t","2014-10-13","N/A","N/A","N/A",1,NA,NA
24598868,"f","t","t","2014-12-07","N/A","N/A","N/A",1,NA,NA
97336460,"f","t","t","2016-09-30","N/A","N/A","N/A",2,NA,NA
24793480,"f","t","t","2014-12-13","N/A","N/A","N/A",1,NA,NA
27105320,"f","f","t","2015-02-02","N/A","N/A","N/A",1,NA,NA
55324782,"f","t","t","2016-01-19","N/A","N/A","N/A",1,5,NA
122786340,"f","f","t","2017-03-27","N/A","N/A","N/A",1,NA,NA
21906247,"f","t","t","2014-09-29","N/A","N/A","N/A",1,NA,NA
89821627,"f","t","t","2016-08-14","N/A","N/A","N/A",1,NA,150
15410169,"f","t","t","2014-05-12","a few days or more","0%","N/A",1,NA,85
156571787,"f","t","t","2017-10-28","N/A","N/A","N/A",1,NA,NA
120638903,"f","t","t","2017-03-13","N/A","N/A","N/A",1,5,NA
113356258,"f","t","t","2017-01-26","N/A","N/A","N/A",1,NA,NA
166819817,"f","f","t","2018-01-09","N/A","N/A","N/A",1,NA,NA
861330,"f","t","t","2011-07-24","N/A","N/A","N/A",3,NA,NA
163351987,"f","t","t","2017-12-19","a few days or more","0%","0%",1,NA,NA
48858084,"f","t","t","2015-11-12","N/A","N/A","N/A",1,NA,NA
142765455,"f","t","t","2017-07-27","N/A","N/A","N/A",2,5,NA
72390391,"f","f","t","2016-05-16","N/A","N/A","N/A",1,NA,NA
19758346,"f","t","t","2014-08-10","N/A","N/A","N/A",1,5,NA
25268374,"f","f","t","2014-12-27","N/A","N/A","N/A",1,NA,NA
415255533,"t","t","t","2021-07-26","N/A","N/A","95%",1,4.57,175
25710035,"f","t","t","2015-01-06","N/A","N/A","N/A",1,5,NA
144193172,"f","t","t","2017-08-03","N/A","N/A","N/A",1,NA,NA
224806557,"f","t","t","2018-11-08","N/A","N/A","N/A",1,5,NA
199147185,"f","f","t","2018-07-01","N/A","N/A","N/A",3,4.75,NA
10387797,"f","t","t","2013-12-02","N/A","N/A","N/A",1,5,NA
367124043,"f","t","t","2020-09-11","N/A","N/A","N/A",1,NA,NA
11306420,"f","t","t","2014-01-14","N/A","N/A","N/A",1,NA,NA
371618516,"f","f","t","2020-10-12","N/A","N/A","N/A",1,NA,NA
6047516,"f","f","t","2013-04-22","N/A","N/A","N/A",1,NA,NA
29238030,"f","t","t","2015-03-12","N/A","N/A","N/A",1,5,NA
53829616,"f","t","t","2016-01-08","N/A","N/A","N/A",1,5,NA
168308087,"f","t","f","2018-01-17","N/A","N/A","N/A",1,NA,NA
151728547,"f","f","t","2017-09-23","N/A","N/A","N/A",1,NA,NA
138706642,"f","f","t","2017-07-05","N/A","N/A","N/A",1,5,NA
756577,"f","t","t","2011-06-29","N/A","N/A","N/A",1,NA,NA
52083976,"f","f","t","2015-12-23","N/A","N/A","N/A",1,NA,NA
347489040,"f","t","t","2020-05-24","N/A","N/A","N/A",1,NA,162
154678310,"f","t","t","2017-10-15","N/A","N/A","N/A",1,5,NA
221022609,"f","t","t","2018-10-16","N/A","N/A","N/A",1,NA,NA
200933726,"f","t","t","2018-07-08","N/A","N/A","N/A",1,NA,NA
5368201,"f","t","t","2013-03-07","N/A","N/A","N/A",1,NA,NA
4750332,"f","t","t","2013-01-18","N/A","N/A","N/A",2,NA,NA
196609694,"f","f","t","2018-06-19","a few days or more","44%","100%",3,NA,NA
25109819,"f","t","t","2014-12-22","N/A","N/A","N/A",1,4.6,NA
223027077,"f","f","t","2018-10-28","N/A","N/A","N/A",1,5,NA
205684793,"f","f","t","2018-07-28","N/A","N/A","N/A",2,NA,NA
274452385,"t","t","t","2019-07-08","within a day","50%","100%",3,4.75,82
193502084,"f","t","t","2018-06-04","N/A","N/A","N/A",8,4.92,NA
218428676,"f","t","t","2018-10-02","N/A","N/A","N/A",2,NA,NA
37072476,"f","t","t","2015-06-29","N/A","N/A","N/A",1,NA,NA
64802660,"f","f","t","2016-03-28","N/A","N/A","N/A",2,NA,NA
15717497,"f","f","t","2014-05-19","N/A","N/A","N/A",1,NA,NA
40398107,"f","f","t","2015-08-03","N/A","N/A","N/A",1,NA,NA
221574115,"f","t","t","2018-10-19","N/A","N/A","N/A",2,NA,NA
1741498,"f","t","t","2012-02-12","N/A","N/A","N/A",1,5,NA
220229838,"f","t","t","2018-10-12","N/A","N/A","N/A",10,4,NA
222425618,"f","f","t","2018-10-24","N/A","N/A","N/A",1,NA,NA
223087887,"f","t","t","2018-10-29","within a day","50%","31%",6,NA,76
205684793,"f","f","t","2018-07-28","N/A","N/A","N/A",2,5,NA
43954564,"f","t","t","2015-09-11","N/A","N/A","N/A",1,NA,NA
216943992,"f","f","t","2018-09-23","N/A","N/A","N/A",3,NA,NA
30240946,"f","t","t","2015-03-29","N/A","N/A","N/A",1,NA,NA
193502084,"f","t","t","2018-06-04","N/A","N/A","N/A",8,4.8,NA
218526982,"f","t","t","2018-10-03","N/A","N/A","N/A",2,4.73,NA
130354635,"f","t","t","2017-05-15","a few days or more","0%","N/A",1,NA,NA
80292073,"t","t","t","2016-06-27","within a day","100%","44%",1,4.8,NA
131782045,"f","t","t","2017-05-24","N/A","N/A","N/A",1,NA,NA
5668544,"f","t","t","2013-03-28","within a few hours","90%","0%",2,NA,NA
3552356,"f","t","t","2012-09-12","N/A","N/A","N/A",1,5,NA
217293060,"f","t","t","2018-09-25","N/A","N/A","N/A",3,NA,NA
10304316,"f","t","t","2013-11-27","N/A","N/A","N/A",1,NA,NA
2685910,"f","t","t","2016-09-13","N/A","N/A","N/A",1,NA,NA
6918093,"f","t","t","2013-06-14","N/A","N/A","N/A",1,5,NA
206774126,"f","f","t","2018-08-01","N/A","N/A","N/A",1,NA,NA
176406553,"f","t","t","2018-03-03","N/A","N/A","N/A",1,NA,NA
207213839,"f","t","t","2018-08-03","N/A","N/A","N/A",1,NA,NA
17145227,"f","t","t","2014-06-23","N/A","N/A","N/A",1,5,NA
13392472,"f","t","t","2014-03-21","N/A","N/A","N/A",1,4.83,NA
209549523,"f","t","t","2018-08-14","N/A","N/A","N/A",3,4.93,NA
147256857,"f","f","t","2017-08-22","N/A","N/A","N/A",1,NA,NA
224126362,"f","f","t","2018-11-04","N/A","N/A","N/A",1,NA,NA
2983302,"f","t","t","2012-07-18","N/A","N/A","N/A",1,NA,NA
6752504,"f","t","t","2013-06-05","N/A","N/A","N/A",7,NA,NA
27547703,"f","t","t","2015-02-10","N/A","N/A","N/A",1,5,NA
254112876,"f","t","t","2019-04-08","N/A","N/A","N/A",2,4.93,NA
228223819,"f","f","t","2018-11-29","N/A","N/A","N/A",1,NA,NA
9640446,"f","t","t","2013-10-26","N/A","N/A","N/A",2,NA,NA
57457584,"f","t","t","2016-02-04","N/A","N/A","N/A",3,5,NA
333870992,"f","f","t","2020-02-05","N/A","N/A","N/A",1,NA,NA
287546971,"f","f","t","2019-08-20","N/A","N/A","N/A",1,NA,NA
108252768,"f","t","t","2016-12-23","N/A","N/A","N/A",1,NA,NA
319053984,"f","t","t","2019-12-19","N/A","N/A","N/A",1,NA,NA
319453843,"f","f","t","2019-12-20","N/A","N/A","N/A",1,NA,NA
48685332,"f","t","t","2015-11-10","N/A","N/A","N/A",1,NA,NA
221574115,"f","t","t","2018-10-19","N/A","N/A","N/A",2,NA,NA
228132014,"f","f","t","2018-11-28","N/A","N/A","N/A",2,NA,NA
4305407,"f","t","t","2012-12-02","N/A","N/A","N/A",1,5,NA
50319699,"f","t","t","2015-12-01","N/A","N/A","N/A",1,5,NA
137665954,"f","t","t","2017-06-29","N/A","N/A","N/A",1,5,NA
22089863,"f","t","t","2014-10-03","N/A","N/A","N/A",2,5,NA
218336964,"f","t","t","2018-10-01","N/A","N/A","N/A",1,4.71,NA
148599649,"f","t","t","2017-08-31","N/A","N/A","N/A",2,4.73,NA
